,GrainCrops,MeatDairy,OthFoodBev,TextAppar,HousUtils,WRTrade,Mnfcs,TransComm,FinService,HousOthServ
nld,0.0043,0.8951,0.8195,0.8887,1.027,1.0514,1.0266,1.0061,1.0532,1.0466
pol,0.0818,0.7831,0.66,0.7716,1.0768,1.148,1.0745,1.0218,1.1532,1.1334
prt,0.027,0.8453,0.7438,0.8364,1.0459,1.0869,1.0451,1.0119,1.0898,1.0787
rou,0.1503,0.7602,0.6305,0.7477,1.1227,1.2267,1.1176,1.049,1.2343,1.2048
svk,0.0607,0.8136,0.6945,0.8027,1.0795,1.14,1.0779,1.0314,1.1443,1.1276
svn,0.0338,0.8523,0.7444,0.8427,1.0714,1.1172,1.0704,1.0337,1.1204,1.1079
esp,0.0159,0.8535,0.7624,0.8456,1.0247,1.0583,1.0241,0.9965,1.0607,1.0516
swe,0.0016,0.9107,0.8411,0.9049,1.0294,1.0509,1.029,1.0108,1.0524,1.0467
gbr,-0.0011,0.9115,0.8492,0.9063,1.015,1.0335,1.0146,0.999,1.0347,1.0298
che,-0.0056,0.9434,0.9017,0.94,1.0082,1.0192,1.0079,0.9986,1.02,1.0171
nor,-0.0071,0.9411,0.8925,0.9371,1.0177,1.031,1.0175,1.0062,1.0319,1.0284
xef,-0.0054,0.9372,0.8883,0.9332,1.0148,1.0282,1.0145,1.0031,1.0291,1.0256
alb,0.2797,0.7105,0.5976,0.6991,1.1169,1.2792,1.1013,1.0233,1.2911,1.2434
blr,0.2143,0.8182,0.6775,0.8044,1.2519,1.3914,1.2415,1.1591,1.4016,1.3616
rus,0.105,0.7605,0.6334,0.7485,1.0868,1.1721,1.0817,1.0232,1.1783,1.1544
ukr,0.4387,0.6956,0.6172,0.6876,1.0577,1.3075,1.0103,0.9672,1.3253,1.2466
xee,0.4358,0.7068,0.6249,0.6985,1.0818,1.3309,1.0363,0.988,1.3488,1.2706
xer,0.1551,0.7178,0.594,0.7058,1.0751,1.1815,1.0692,1.0012,1.1893,1.159
kaz,0.1119,0.7597,0.6327,0.7477,1.0894,1.1766,1.0847,1.0249,1.1829,1.1585
kgz,0.551,0.8288,0.7427,0.8201,1.2378,1.5546,1.1711,1.1364,1.5771,1.4757
tjk,0.6712,0.8871,0.8174,0.8805,1.2182,1.6391,1.0935,1.1502,1.6669,1.5235
xsu,0.5544,0.7441,0.6832,0.7383,1.0349,1.3832,0.9318,0.9725,1.4065,1.2886
arm,0.3484,0.795,0.6738,0.7827,1.2548,1.4546,1.232,1.1463,1.4692,1.4098
aze,0.2981,0.8265,0.6911,0.8129,1.2969,1.475,1.2778,1.1902,1.488,1.436
geo,0.3267,0.81,0.6825,0.7971,1.2737,1.4617,1.2553,1.1664,1.4754,1.42
bhr,0.024,0.8289,0.7275,0.82,1.0292,1.0702,1.0281,0.9951,1.0731,1.062
irn,0.314,0.6976,0.5916,0.6868,1.1128,1.3076,1.0775,1.0142,1.3217,1.2638
isr,0.0038,0.8915,0.8098,0.8845,1.0373,1.0647,1.0368,1.0139,1.0666,1.0592
jor,0.2396,0.7207,0.6004,0.7088,1.1241,1.2694,1.1112,1.0341,1.2801,1.2378
kwt,0.033,0.8184,0.7124,0.809,1.035,1.0806,1.0337,0.9976,1.0839,1.0714
omn,0.1394,0.7044,0.584,0.6928,1.0413,1.138,1.0356,0.9727,1.1451,1.1177
qat,0.0287,0.8214,0.7189,0.8123,1.027,1.0696,1.0257,0.9919,1.0726,1.061
sau,0.1053,0.7627,0.6357,0.7507,1.0868,1.1712,1.0828,1.0238,1.1773,1.1537
tur,0.1065,0.7501,0.6235,0.7381,1.0794,1.1667,1.0758,1.0148,1.173,1.1485
are,-0.0005,0.9222,0.8525,0.9163,1.0398,1.0611,1.0393,1.0214,1.0626,1.0569
xws,0.4727,0.8006,0.7021,0.7906,1.2382,1.5072,1.188,1.129,1.5266,1.4431
egy,0.3699,0.7559,0.645,0.7448,1.1972,1.4117,1.1652,1.0901,1.4273,1.3626
mar,0.4954,0.7992,0.7066,0.7898,1.2236,1.512,1.1706,1.1173,1.5328,1.442
tun,0.3175,0.7104,0.6022,0.6994,1.1304,1.3202,1.1077,1.0299,1.3341,1.2773
xnf,0.4233,0.7202,0.6315,0.7112,1.1143,1.3543,1.0703,1.016,1.3716,1.2972
ben,0.7492,0.9642,0.8938,0.9581,1.2666,1.7736,1.0845,1.2209,1.8051,1.6268
bfa,0.8345,1.047,0.9787,1.0449,0.8726,1.7565,0.5355,1.1576,1.7092,1.3584
cmr,0.6559,0.8468,0.7831,0.8413,1.1215,1.5614,0.9628,1.0767,1.5891,1.4349
civ,0.7196,0.933,0.8637,0.9269,1.2421,1.7199,1.0838,1.1894,1.7502,1.5835
gha,0.7528,0.9653,0.8966,0.9595,1.2483,1.7726,1.0613,1.2127,1.8044,1.6178
gin,0.865,1.0638,0.9978,1.0605,1.0933,1.8611,0.7774,1.2282,1.8764,1.5738
nga,0.5823,1.0133,0.8848,1.0002,1.5751,1.9072,1.5071,1.4352,1.9312,1.8285
sen,0.7117,0.9005,0.8388,0.8954,1.1436,1.6431,0.9644,1.1217,1.6725,1.4938
tgo,0.7966,0.9811,0.9204,0.977,1.1266,1.7533,0.8771,1.1718,1.7811,1.5435
xwf,0.7885,0.9637,0.9059,0.9605,1.0179,1.6933,0.7441,1.1215,1.7118,1.4492
xcf,0.6237,0.8028,0.7436,0.7978,1.0526,1.4781,0.8986,1.0157,1.5045,1.3544
xac,0.65,0.8397,0.7794,0.8347,1.0835,1.5447,0.9203,1.0543,1.5726,1.408
eth,0.8818,1.0975,1.0243,1.095,0.9759,1.8677,0.6204,1.2274,1.8439,1.4872
ken,0.7053,0.9385,0.8649,0.9319,1.2708,1.7497,1.1186,1.2087,1.7808,1.6145
mdg,0.8505,1.054,0.9856,1.0518,0.9034,1.7771,0.5647,1.1704,1.7408,1.3924
mwi,0.8331,1.0545,0.9793,1.0526,0.8196,1.7459,0.4887,1.154,1.6662,1.3053
mus,0.1084,0.7948,0.6645,0.7825,1.1245,1.2093,1.1211,1.0608,1.2155,1.1918
moz,0.8437,1.0437,0.9806,1.0412,0.9449,1.7785,0.6263,1.1703,1.7619,1.428
rwa,0.8505,1.0534,0.9865,1.0503,1.0522,1.8343,0.7516,1.2075,1.8439,1.5332
tza,0.7837,0.9802,0.9177,0.9765,1.0831,1.7463,0.8227,1.1568,1.7707,1.5146
uga,0.8013,0.9836,0.9238,0.9808,0.9712,1.706,0.687,1.1238,1.7126,1.4202
zmb,0.7384,0.9193,0.8604,0.9145,1.1425,1.6627,0.9672,1.1322,1.6921,1.5031
zwe,0.6742,0.8274,0.7768,0.8237,0.9767,1.4833,0.7883,0.9978,1.5082,1.3188
xec,0.5782,0.7377,0.6857,0.7333,0.9543,1.351,0.8092,0.9268,1.3751,1.2344
bwa,0.2926,0.7095,0.5988,0.6983,1.1155,1.2825,1.0987,1.0212,1.2947,1.2454
nam,0.3165,0.7591,0.6409,0.7471,1.1948,1.3758,1.1761,1.0933,1.389,1.3355
zaf,0.2673,0.7098,0.5951,0.6983,1.1155,1.2731,1.0989,1.0228,1.2846,1.2384
xsc,0.6334,0.842,0.7749,0.8356,1.1634,1.5565,1.0586,1.0955,1.5826,1.4493
xtw,0.0394,0.8135,0.7059,0.8039,1.0378,1.0858,1.0368,0.9988,1.0892,1.0761
