,GrainCrops,MeatDairy,OthFoodBev,TextAppar,HousUtils,WRTrade,Mnfcs,TransComm,FinService,HousOthServ
lux,-0.0063,1.0626,0.9789,1.052,0.9494,0.912,1.0268,0.9097,1.0552,1.0806
mlt,0.0052,0.5482,0.5033,0.5374,0.5957,0.5097,0.5508,0.5631,0.6674,0.6274
nld,0.0037,0.7442,0.6639,0.7192,0.7522,0.6738,0.789,0.7462,0.8724,0.7201
pol,0.0443,0.3979,0.3349,0.4036,0.4873,0.4982,0.4936,0.4838,0.5885,0.5223
prt,0.017,0.5129,0.4409,0.5054,0.5668,0.4815,0.587,0.5445,0.6496,0.6034
rou,0.0702,0.3342,0.2704,0.3376,0.4532,0.4769,0.4563,0.4394,0.5672,0.4297
svk,0.0355,0.4533,0.3773,0.4466,0.5138,0.5555,0.5384,0.5082,0.6267,0.5939
svn,0.0215,0.5165,0.4448,0.5101,0.627,0.5517,0.5768,0.5791,0.6895,0.5588
esp,0.0113,0.5876,0.5127,0.5803,0.6586,0.5008,0.6755,0.6358,0.7322,0.5433
swe,0.0015,0.7804,0.707,0.7762,0.7845,0.7306,0.8263,0.7772,0.8919,0.7189
gbr,-0.0009,0.7391,0.6679,0.7224,0.7546,0.6159,0.7487,0.7321,0.811,0.6143
che,-0.0058,0.9336,0.9001,0.9422,0.9067,0.8509,0.9465,0.9299,0.991,0.6339
nor,-0.0077,0.9587,0.9147,0.9818,0.9895,0.9104,0.9653,0.8821,1.0407,0.8112
xef,-0.0050,0.8425,0.7709,0.8304,0.7096,0.7273,0.8437,0.7465,0.8782,0.832
alb,0.1011,0.2413,0.2145,0.2476,0.3387,0.335,0.3669,0.3149,0.4538,0.4184
blr,0.0828,0.2695,0.2588,0.308,0.4227,0.5129,0.4409,0.3805,0.5487,0.4464
rus,0.0568,0.375,0.3243,0.3929,0.5191,0.4386,0.5081,0.457,0.6219,0.5729
ukr,0.144,0.2136,0.1964,0.2241,0.2809,0.2991,0.3107,0.2883,0.4342,0.355
xee,0.1277,0.1899,0.1736,0.2051,0.2892,0.2707,0.2761,0.2556,0.3946,0.3221
xer,0.0703,0.3125,0.2511,0.3093,0.4083,0.4336,0.4237,0.3831,0.524,0.402
kaz,0.0587,0.3751,0.323,0.3735,0.5372,0.5004,0.5271,0.4557,0.6101,0.397
kgz,0.1138,0.1619,0.1511,0.1262,0.2267,0.2709,0.2337,0.226,0.3364,0.3046
tjk,0.1249,0.1703,0.1526,0.1215,0.2379,0.2861,0.2111,0.2101,0.3371,0.2832
xsu,0.1772,0.2186,0.2208,0.2401,0.3262,0.3002,0.2989,0.2898,0.4739,0.3589
arm,0.1053,0.2082,0.1887,0.2398,0.3236,0.3767,0.3411,0.3296,0.45,0.4004
aze,0.1103,0.2957,0.2399,0.3022,0.4658,0.4617,0.4528,0.3659,0.5553,0.5089
geo,0.1013,0.2138,0.2013,0.2492,0.382,0.4292,0.367,0.3256,0.47,0.345
bhr,0.016,0.5433,0.4745,0.5316,0.6244,0.639,0.5562,0.5662,0.553,0.5887
irn,0.122,0.2637,0.2248,0.2647,0.4024,0.4075,0.3929,0.342,0.5004,0.3693
isr,0.0029,0.6489,0.5699,0.6464,0.723,0.6446,0.7026,0.6758,0.7766,0.5273
jor,0.0876,0.2545,0.2126,0.2512,0.3486,0.4433,0.3208,0.3267,0.4583,0.3443
kwt,0.027,0.6588,0.5699,0.6423,0.7257,0.8088,0.6944,0.6621,0.7561,0.7001
omn,0.0891,0.4399,0.3681,0.438,0.6069,0.6488,0.385,0.5157,0.6941,0.5957
qat,0.0315,0.8804,0.7723,0.8672,1.0287,1.0478,0.8583,0.9115,0.9918,0.9174
sau,0.0691,0.4884,0.3993,0.4779,0.6127,0.6884,0.5204,0.5541,0.7146,0.6627
tur,0.0518,0.3455,0.2888,0.3445,0.4867,0.4226,0.4647,0.4156,0.5482,0.4337
are,-0.0004,0.7209,0.6593,0.6978,0.7623,0.7163,0.5648,0.6968,0.7561,0.7247
xws,0.1425,0.2314,0.2017,0.2442,0.3513,0.3957,0.3523,0.2954,0.4818,0.4257
egy,0.1116,0.2247,0.1858,0.2133,0.3481,0.3801,0.3231,0.2836,0.4281,0.3385
mar,0.1389,0.2235,0.192,0.2269,0.3501,0.4224,0.3172,0.2994,0.4632,0.3117
tun,0.1138,0.2411,0.198,0.2376,0.387,0.3805,0.3106,0.3323,0.4719,0.3657
xnf,0.1694,0.2715,0.2318,0.275,0.4048,0.4534,0.3478,0.3502,0.5445,0.4278
ben,0.1086,0.1614,0.1338,0.1469,0.2238,0.2952,0.1866,0.1862,0.3224,0.2705
bfa,0.1342,0.1697,0.1456,0.1864,0.1573,0.2891,0.0927,0.1984,0.3171,0.2281
cmr,0.1349,0.1858,0.1649,0.1884,0.2443,0.2986,0.2068,0.223,0.3606,0.3121
civ,0.129,0.1989,0.1728,0.1922,0.2454,0.3766,0.2017,0.2255,0.3727,0.3353
gha,0.1291,0.1907,0.1685,0.1875,0.2572,0.376,0.1883,0.2349,0.3829,0.3051
gin,0.1116,0.1406,0.128,0.1387,0.1631,0.2858,0.1036,0.1736,0.2846,0.2275
nga,0.1064,0.2122,0.2032,0.2313,0.3546,0.3944,0.3248,0.3224,0.43,0.4074
sen,0.1339,0.1643,0.1465,0.1739,0.2138,0.3294,0.1776,0.1917,0.3238,0.2899
tgo,0.1215,0.154,0.1203,0.1185,0.1846,0.2859,0.1353,0.168,0.2946,0.2409
xwf,0.1261,0.1631,0.1404,0.1624,0.1814,0.2775,0.1168,0.183,0.3114,0.2277
xcf,0.1866,0.2261,0.1984,0.2375,0.2904,0.4426,0.2417,0.2613,0.3814,0.36
xac,0.1586,0.1903,0.1638,0.204,0.254,0.382,0.2068,0.2418,0.3793,0.2703
eth,0.1052,0.1586,0.143,0.1552,0.1542,0.3007,0.0925,0.1873,0.2983,0.2086
ken,0.116,0.1806,0.1561,0.184,0.2554,0.3659,0.2158,0.241,0.3617,0.2672
mdg,0.1153,0.1357,0.1178,0.1595,0.1282,0.2822,0.086,0.1606,0.2517,0.2199
mwi,0.1009,0.1414,0.1183,0.1528,0.1212,0.2495,0.0693,0.156,0.2492,0.1439
mus,0.0498,0.3435,0.2791,0.3489,0.4475,0.5397,0.4054,0.3919,0.4984,0.4895
moz,0.1168,0.1674,0.1426,0.1673,0.1563,0.3012,0.0997,0.1696,0.2994,0.213
rwa,0.1031,0.1739,0.1408,0.1738,0.1776,0.305,0.1146,0.1947,0.3161,0.2201
tza,0.1265,0.1692,0.1499,0.1748,0.2061,0.2996,0.1404,0.2171,0.3456,0.2691
uga,0.1284,0.1664,0.1455,0.1764,0.1679,0.3123,0.1129,0.1916,0.3179,0.187
zmb,0.1657,0.1897,0.1526,0.2056,0.2601,0.3883,0.2208,0.266,0.4103,0.2957
zwe,0.144,0.1728,0.1495,0.1666,0.1994,0.259,0.1561,0.1943,0.324,0.2406
xec,0.1476,0.1812,0.162,0.1843,0.2348,0.239,0.1973,0.2186,0.3475,0.2344
bwa,0.1257,0.2788,0.2398,0.2986,0.4338,0.4864,0.3824,0.4051,0.4971,0.4289
nam,0.1144,0.2596,0.2037,0.2579,0.4209,0.4851,0.3172,0.3652,0.4938,0.3589
zaf,0.1113,0.2814,0.2272,0.2757,0.383,0.5012,0.3867,0.3769,0.5144,0.3669
xsc,0.1568,0.1976,0.1704,0.1946,0.2851,0.3909,0.2326,0.2539,0.3943,0.3066
xtw,0.0254,0.5034,0.4296,0.507,0.5891,0.5334,0.6105,0.5486,0.6774,0.4969
