"EXIOBASE sector","SCAF sector"
"Coal Tar","OTHER ENERGY"
"Motor Gasoline","OTHER ENERGY"
"Aviation Gasoline","OTHER ENERGY"
"Gasoline Type Jet Fuel","OTHER ENERGY"
"Kerosene Type Jet Fuel","OTHER ENERGY"
"Kerosene","OTHER ENERGY"
"Gas/Diesel Oil","OTHER ENERGY"
"Heavy Fuel Oil","OTHER ENERGY"
"Refinery Gas","OTHER ENERGY"
"Liquefied Petroleum Gases (LPG)","OTHER ENERGY"
"Refinery Feedstocks","OTHER ENERGY"
"Ethane","OTHER ENERGY"
"Naphtha","OTHER ENERGY"
"White Spirit & SBP","OTHER ENERGY"
"Lubricants","OTHER ENERGY"
"Bitumen","OTHER ENERGY"
"Paraffin Waxes","OTHER ENERGY"
"Petroleum Coke","OTHER ENERGY"
"Non-specified Petroleum Products","OTHER ENERGY"
"Nuclear fuel","OTHER ENERGY"
"Plastics, basic","CHEMICAL"
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic","CHEMICAL"
"N-fertiliser","CHEMICAL"
"P- and other fertiliser","CHEMICAL"
"Chemicals nec","CHEMICAL"
"Charcoal","OTHER ENERGY"
"Additives/Blending Components","OTHER ENERGY"
"Biogasoline","OTHER ENERGY"
"Biodiesels","OTHER ENERGY"
"Other Liquid Biofuels","OTHER ENERGY"
"Rubber and plastic products (25)","MANUFACTURE"
"Glass and glass products","MANUFACTURE"
"Secondary glass for treatment, Re-processing of secondary glass into new glass","MANUFACTURE"
"Ceramic goods","MANUFACTURE"
"Bricks, tiles and construction products, in baked clay","MANUFACTURE"
"Cement, lime and plaster","MANUFACTURE"
"Ash for treatment, Re-processing of ash into clinker","MANUFACTURE"
"Other non-metallic mineral products","MANUFACTURE"
"Basic iron and steel and of ferro-alloys and first products thereof","STEEL"
"Secondary steel for treatment, Re-processing of secondary steel into new steel","STEEL"
"Precious metals","MANUFACTURE"
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals","MANUFACTURE"
"Aluminium and aluminium products","MANUFACTURE"
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium","MANUFACTURE"
"Lead, zinc and tin and products thereof","MANUFACTURE"
"Secondary lead for treatment, Re-processing of secondary lead into new lead","MANUFACTURE"
"Copper products","MANUFACTURE"
"Secondary copper for treatment, Re-processing of secondary copper into new copper","MANUFACTURE"
"Other non-ferrous metal products","MANUFACTURE"
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals","MANUFACTURE"
"Foundry work services","MANUFACTURE"
"Fabricated metal products, except machinery and equipment (28)","MANUFACTURE"
"Machinery and equipment n.e.c. (29)","MANUFACTURE"
"Office machinery and computers (30)","MANUFACTURE"
"Electrical machinery and apparatus n.e.c. (31)","MANUFACTURE"
"Radio, television and communication equipment and apparatus (32)","MANUFACTURE"
"Medical, precision and optical instruments, watches and clocks (33)","MANUFACTURE"
"Motor vehicles, trailers and semi-trailers (34)","MANUFACTURE"
"Other transport equipment (35)","MANUFACTURE"
"Furniture; other manufactured goods n.e.c. (36)","MANUFACTURE"
"Secondary raw materials","MANUFACTURE"
"Bottles for treatment, Recycling of bottles by direct reuse","MANUFACTURE"
"Electricity by coal","OTHER ENERGY"
"Electricity by gas","OTHER ENERGY"
"Electricity by nuclear","OTHER ENERGY"
"Electricity by hydro","OTHER ENERGY"
"Electricity by wind","OTHER ENERGY"
"Electricity by petroleum and other oil derivatives","OTHER ENERGY"
"Electricity by biomass and waste","OTHER ENERGY"
"Electricity by solar photovoltaic","OTHER ENERGY"
"Electricity by solar thermal","OTHER ENERGY"
"Electricity by tide, wave, ocean","OTHER ENERGY"
"Electricity by Geothermal","OTHER ENERGY"
"Electricity nec","OTHER ENERGY"
"Transmission services of electricity","OTHER ENERGY"
"Distribution and trade services of electricity","OTHER ENERGY"
"Coke oven gas","OTHER ENERGY"
"Blast Furnace Gas","OTHER ENERGY"
"Oxygen Steel Furnace Gas","OTHER ENERGY"
"Gas Works Gas","OTHER ENERGY"
"Biogas","OTHER ENERGY"
"Distribution services of gaseous fuels through mains","OTHER ENERGY"
"Steam and hot water supply services","OTHER ENERGY"
"Collected and purified water, distribution services of water (41)","MANUFACTURE"
"Construction work (45)","MANUFACTURE"
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates","MANUFACTURE"
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries","SERVICES"
"Retail trade services of motor fuel","SERVICES"
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","SERVICES"
"Retail trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)","SERVICES"
"Hotel and restaurant services (55)","SERVICES"
"Railway transportation services","TRANSPORTATION"
"Other land transportation services","TRANSPORTATION"
"Transportation services via pipelines","TRANSPORTATION"
"Sea and coastal water transportation services","TRANSPORTATION"
"Inland water transportation services","TRANSPORTATION"
"Air transport services (62)","TRANSPORTATION"
"Supporting and auxiliary transport services;  travel agency services (63)","SERVICES"
"Post and telecommunication services (64)","SERVICES"
"Financial intermediation services, except insurance and pension funding services (65)","SERVICES"
"Insurance and pension funding services, except compulsory social security services (66)","SERVICES"
"Services auxiliary to financial intermediation (67)","SERVICES"
"Real estate services (70)","SERVICES"
"Renting services of machinery and equipment without operator and of personal and household goods (71)","SERVICES"
"Computer and related services (72)","SERVICES"
"Research and development services (73)","SERVICES"
"Other business services (74)","SERVICES"
"Public administration and defence services; compulsory social security services (75)","SERVICES"
"Education services (80)","SERVICES"
"Health and social work services (85)","SERVICES"
"Food waste for treatment: incineration","SERVICES"
"Paper waste for treatment: incineration","SERVICES"
"Plastic waste for treatment: incineration","SERVICES"
"Intert/metal waste for treatment: incineration","SERVICES"
"Textiles waste for treatment: incineration","SERVICES"
"Wood waste for treatment: incineration","SERVICES"
"Oil/hazardous waste for treatment: incineration","SERVICES"
"Food waste for treatment: biogasification and land application","SERVICES"
"Paper waste for treatment: biogasification and land application","SERVICES"
"Sewage sludge for treatment: biogasification and land application","SERVICES"
"Food waste for treatment: composting and land application","SERVICES"
"Paper and wood waste for treatment: composting and land application","SERVICES"
"Food waste for treatment: waste water treatment","SERVICES"
"Other waste for treatment: waste water treatment","SERVICES"
"Food waste for treatment: landfill","SERVICES"
"Paper for treatment: landfill","SERVICES"
"Plastic waste for treatment: landfill","SERVICES"
"Inert/metal/hazardous waste for treatment: landfill","SERVICES"
"Textiles waste for treatment: landfill","SERVICES"
"Wood waste for treatment: landfill","SERVICES"
"Membership organisation services n.e.c. (91)","SERVICES"
"Recreational, cultural and sporting services (92)","SERVICES"
"Other services (93)","SERVICES"
"Private households with employed persons (95)","SERVICES"
"Extra-territorial organizations and bodies","SERVICES"
